Feature_Set,ROC_AUC,Accuracy,F1
All features,0.9948672566371681,0.9947368421052631,0.5714285714285714
Stat + FFT + Peak + Complexity,0.9948672566371681,0.9947368421052631,0.5714285714285714
Statistical only,0.9911504424778761,0.9947368421052631,0.5714285714285714
Stat + FFT + Peak,0.9884955752212388,0.9947368421052631,0.5714285714285714
Stat + FFT,0.9821238938053096,0.9947368421052631,0.5714285714285714
