Model,ROC_AUC,Accuracy,Precision,Recall,F1,Threshold
Random Forest,0.9948672566371681,0.9947368421052631,1.0,0.4,0.5714285714285714,0.5
Weighted Ensemble (RF+XGB+CAT),0.9939823008849558,0.9964912280701754,1.0,0.6,0.75,0.5
Stacking Ensemble,0.9876106194690265,0.9964912280701754,1.0,0.6,0.75,0.5
XGBoost,0.9755752212389379,0.9964912280701754,1.0,0.6,0.75,0.5
Soft Voting Ensemble,0.9614159292035398,0.9964912280701754,1.0,0.6,0.75,0.5
CatBoost,0.9348672566371681,0.9964912280701754,1.0,0.6,0.75,0.5
Logistic Regression,0.8945132743362831,0.6859649122807018,0.02717391304347826,1.0,0.05291005291005291,0.5
LightGBM,0.8930973451327433,0.9912280701754386,0.0,0.0,0.0,0.5
