iter	Passed	Remaining
589	5356	3722
590	5361	3710
591	5366	3698
592	5372	3687
593	5377	3675
594	5382	3663
595	5389	3652
596	5395	3642
597	5401	3630
598	5406	3619
599	5411	3607
600	5416	3596
601	5422	3584
602	5427	3573
603	5432	3562
604	5438	3550
605	5443	3539
606	5449	3528
607	5454	3516
608	5459	3505
609	5465	3494
610	5470	3482
611	5475	3471
612	5482	3461
613	5494	3454
614	5504	3446
615	5514	3437
616	5520	3426
617	5526	3415
618	5531	3404
619	5536	3393
620	5542	3382
621	5547	3371
622	5553	3360
623	5558	3349
624	5564	3338
625	5569	3327
626	5575	3316
627	5580	3305
628	5585	3294
629	5591	3283
630	5596	3272
631	5602	3262
632	5607	3251
633	5612	3240
634	5617	3229
635	5623	3218
636	5628	3207
637	5633	3196
638	5639	3185
639	5644	3175
640	5649	3164
641	5655	3153
642	5660	3142
643	5665	3131
644	5670	3121
645	5676	3110
646	5681	3099
647	5686	3088
648	5691	3078
649	5697	3067
650	5702	3056
651	5707	3046
652	5712	3035
653	5717	3025
654	5723	3014
655	5728	3004
656	5733	2993
657	5739	2983
658	5744	2972
659	5749	2961
660	5754	2951
661	5760	2941
662	5765	2930
663	5770	2920
664	5775	2909
665	5780	2899
666	5786	2888
667	5791	2878
668	5796	2868
669	5802	2857
670	5807	2847
671	5813	2837
672	5818	2827
673	5823	2816
674	5828	2806
675	5834	2796
676	5839	2786
677	5845	2776
678	5850	2765
679	5855	2755
680	5861	2745
681	5866	2735
682	5872	2725
683	5877	2715
684	5884	2705
685	5889	2695
686	5895	2685
687	5900	2675
688	5905	2665
689	5911	2655
690	5916	2645
691	5921	2635
692	5926	2625
693	5931	2615
694	5936	2605
695	5942	2595
696	5947	2585
697	5953	2576
698	5959	2566
699	5965	2556
700	5971	2546
701	5977	2537
702	5982	2527
703	5987	2517
704	5992	2507
705	5997	2497
706	6002	2487
707	6008	2477
708	6013	2468
709	6019	2458
710	6024	2448
711	6029	2438
712	6034	2429
713	6040	2419
714	6045	2409
715	6050	2399
716	6055	2390
717	6060	2380
718	6066	2370
719	6071	2361
720	6077	2351
721	6082	2342
722	6087	2332
723	6092	2322
724	6098	2313
725	6103	2303
726	6108	2293
727	6113	2284
728	6118	2274
729	6123	2264
730	6128	2255
731	6133	2245
732	6138	2236
733	6143	2226
734	6148	2216
735	6153	2207
736	6159	2197
737	6170	2190
738	6180	2182
739	6190	2175
740	6200	2167
741	6210	2159
742	6220	2151
743	6230	2143
744	6239	2135
745	6248	2127
746	6258	2119
747	6267	2111
748	6279	2104
749	6289	2096
750	6299	2088
751	6308	2080
752	6318	2072
753	6325	2063
754	6336	2056
755	6346	2048
756	6356	2040
757	6366	2032
758	6375	2024
759	6387	2016
760	6397	2009
761	6405	2000
762	6417	1993
763	6426	1985
764	6435	1977
765	6444	1968
766	6453	1960
767	6461	1952
768	6470	1943
769	6479	1935
770	6489	1927
771	6500	1919
772	6513	1912
773	6524	1905
774	6538	1898
775	6551	1891
776	6561	1883
777	6570	1874
778	6580	1866
779	6590	1858
780	6600	1850
781	6609	1842
782	6619	1834
783	6627	1825
784	6634	1817
785	6640	1807
786	6647	1799
787	6655	1790
788	6665	1782
789	6673	1774
790	6682	1765
791	6690	1757
792	6699	1748
793	6708	1740
794	6716	1731
795	6725	1723
796	6734	1715
797	6742	1706
798	6751	1698
799	6761	1690
800	6771	1682
801	6780	1674
802	6790	1665
803	6799	1657
804	6809	1649
805	6818	1641
806	6828	1633
807	6839	1625
808	6848	1616
809	6858	1608
810	6868	1600
811	6877	1592
812	6887	1584
813	6896	1575
814	6906	1567
815	6915	1559
816	6925	1551
817	6936	1543
818	6947	1535
819	6958	1527
820	6968	1519
821	6977	1511
822	6987	1502
823	6996	1494
824	7006	1486
825	7015	1477
826	7025	1469
827	7034	1461
828	7044	1453
829	7053	1444
830	7063	1436
831	7073	1428
832	7082	1419
833	7092	1411
834	7101	1403
835	7111	1394
836	7120	1386
837	7130	1378
838	7139	1370
839	7149	1361
840	7159	1353
841	7168	1345
842	7178	1336
843	7186	1328
844	7194	1319
845	7202	1311
846	7211	1302
847	7221	1294
848	7230	1286
849	7240	1277
850	7250	1269
851	7260	1261
852	7269	1252
853	7280	1244
854	7289	1236
855	7299	1227
856	7309	1219
857	7318	1211
858	7328	1202
859	7338	1194
860	7348	1186
861	7355	1177
862	7365	1169
863	7375	1161
864	7384	1152
865	7393	1144
866	7402	1135
867	7410	1126
868	7419	1118
869	7428	1109
870	7436	1101
871	7445	1092
872	7453	1084
873	7462	1075
874	7470	1067
875	7479	1058
876	7488	1050
877	7496	1041
878	7505	1033
879	7514	1024
880	7522	1016
881	7531	1007
882	7540	999
883	7549	990
884	7557	982
885	7566	973
886	7574	965
887	7583	956
888	7591	947
889	7602	939
890	7612	931
891	7623	922
892	7634	914
893	7645	906
894	7655	898
895	7664	889
896	7673	881
897	7682	872
898	7692	864
899	7701	855
900	7710	847
901	7719	838
902	7727	830
903	7736	821
904	7745	813
905	7754	804
906	7763	796
907	7771	787
908	7780	778
909	7789	770
910	7797	761
911	7806	753
912	7815	744
913	7824	736
914	7832	727
915	7841	719
916	7850	710
917	7859	702
918	7868	693
919	7877	684
920	7885	676
921	7894	667
922	7903	659
923	7911	650
924	7920	642
925	7929	633
926	7938	625
927	7948	616
928	7957	608
929	7965	599
930	7974	591
931	7983	582
932	7991	573
933	8000	565
934	8009	556
935	8018	548
936	8026	539
937	8035	531
938	8044	522
939	8054	514
940	8064	505
941	8073	497
942	8083	488
943	8093	480
944	8102	471
945	8112	463
946	8122	454
947	8132	446
948	8141	437
949	8151	429
950	8161	420
951	8171	411
952	8180	403
953	8190	394
954	8198	386
955	8206	377
956	8213	369
957	8221	360
958	8227	351
959	8236	343
960	8245	334
961	8255	326
962	8265	317
963	8274	309
964	8284	300
965	8294	291
966	8304	283
967	8312	274
968	8324	266
969	8333	257
970	8343	249
971	8352	240
972	8362	232
973	8373	223
974	8382	214
975	8392	206
976	8401	197
977	8411	189
978	8420	180
979	8429	172
980	8439	163
981	8448	154
982	8458	146
983	8468	137
984	8477	129
985	8484	120
986	8494	111
987	8503	103
988	8512	94
989	8520	86
990	8529	77
991	8537	68
992	8546	60
993	8554	51
994	8563	43
995	8572	34
996	8581	25
997	8591	17
998	8601	8
999	8611	0
919	16759	1457
920	16769	1438
921	16779	1419
922	16788	1400
923	16798	1381
924	16807	1362
925	16815	1343
926	16823	1324
927	16831	1305
928	16840	1287
929	16847	1268
930	16863	1249
931	16874	1231
932	16888	1212
933	16906	1194
934	16919	1176
935	16929	1157
936	16939	1138
937	16949	1120
938	16959	1101
939	16969	1083
940	16978	1064
941	16988	1045
942	16998	1027
943	17007	1008
944	17017	990
945	17028	972
946	17038	953
947	17048	935
948	17058	916
949	17069	898
950	17079	879
951	17088	861
952	17098	843
953	17107	824
954	17118	806
955	17129	788
956	17139	770
957	17150	751
958	17162	733
959	17171	715
960	17182	697
961	17192	679
962	17202	660
963	17212	642
964	17221	624
965	17231	606
966	17240	588
967	17249	570
968	17258	552
969	17265	533
970	17273	515
971	17281	497
972	17289	479
973	17297	461
974	17305	443
975	17315	425
976	17325	407
977	17335	389
978	17345	372
979	17355	354
980	17365	336
981	17373	318
982	17382	300
983	17390	282
984	17401	264
985	17410	247
986	17417	229
987	17426	211
988	17434	193
989	17443	176
990	17451	158
991	17460	140
992	17469	123
993	17478	105
994	17488	87
995	17496	70
996	17506	52
997	17515	35
998	17524	17
999	17533	0
