iter	Logloss
0	0.6566665173
1	0.6416768328
2	0.624453909
3	0.5917622692
4	0.5547710459
5	0.5419711705
6	0.518638044
7	0.4934620676
8	0.4772352056
9	0.4644139552
10	0.4483907137
11	0.4376432477
12	0.4207668774
13	0.4097402091
14	0.4011272085
15	0.3889903726
16	0.3772393299
17	0.3699403227
18	0.3589031167
19	0.3468662357
20	0.3416573851
21	0.3348650672
22	0.3248972799
23	0.3203846531
24	0.3144813332
25	0.3124000737
26	0.3074915587
27	0.2942697793
28	0.2813187354
29	0.276747192
30	0.2659751951
31	0.2618387292
32	0.2551343386
33	0.2466287838
34	0.2426117408
35	0.23808413
36	0.2295340849
37	0.2250990428
38	0.2176568541
39	0.2148531725
40	0.2114473417
41	0.208310564
42	0.2048137517
43	0.1977394448
44	0.1947545355
45	0.1936872649
46	0.1901698897
47	0.1842002903
48	0.1820324009
49	0.1798435338
50	0.178169757
51	0.1753635464
52	0.1742226672
53	0.1693263261
54	0.1652862049
55	0.1642238633
56	0.1604918725
57	0.1588045092
58	0.1575658438
59	0.155058132
60	0.1525582602
61	0.1500018038
62	0.1481739948
63	0.1450507683
64	0.1441605239
65	0.1428009771
66	0.1413521651
67	0.1401866374
68	0.1387182863
69	0.1362587933
70	0.1353528176
71	0.1341877873
72	0.1327328907
73	0.1315712395
74	0.130538846
75	0.1288853703
76	0.1279526849
77	0.1261698789
78	0.124131552
79	0.122967674
80	0.1217424867
81	0.1205450154
82	0.1197284237
83	0.1191806111
84	0.1177772041
85	0.1166102959
86	0.115167231
87	0.1146007103
88	0.1137989147
89	0.1127101631
90	0.1114214068
91	0.1103488816
92	0.109485146
93	0.1085841221
94	0.1075487667
95	0.1068912044
96	0.1060995733
97	0.1053071409
98	0.1041555477
99	0.1033174319
100	0.1018301544
101	0.1009205909
102	0.1000934555
103	0.0992396384
104	0.09728210774
105	0.09650879122
106	0.09580866255
107	0.09500609672
108	0.09244214662
109	0.09188176102
110	0.09136219961
111	0.09005283397
112	0.08948764251
113	0.08913125138
114	0.08873042162
115	0.08806548585
116	0.08736316247
117	0.0868589217
118	0.0862034112
119	0.08553654687
120	0.08492623964
121	0.08444233746
122	0.08273441284
123	0.08069930597
124	0.07983634246
125	0.07882268505
126	0.07823430878
127	0.07757804253
128	0.07716684146
129	0.07625595091
130	0.07565646256
131	0.0751469021
132	0.07460911456
133	0.0739092374
134	0.07304704133
135	0.07266958079
136	0.07228890506
137	0.0714321296
138	0.07047464874
139	0.06979409436
140	0.06908622838
141	0.06792357028
142	0.06716634731
143	0.0669897658
144	0.06673112201
145	0.06596508426
146	0.06426130845
147	0.06385013076
148	0.06311715814
149	0.06122702854
150	0.06087929103
151	0.06026251131
152	0.05988718745
153	0.05951642827
154	0.05883843948
155	0.05824366132
156	0.05769640385
157	0.0570729812
158	0.05670398331
159	0.05594243884
160	0.055700788
161	0.05548748419
162	0.05527850898
163	0.0549404332
164	0.05462242341
165	0.05374748598
166	0.05301523588
167	0.05276288898
168	0.05224637712
169	0.05188611489
170	0.05127865492
171	0.05102258999
172	0.05049920779
173	0.05001018994
174	0.04975958149
175	0.04925200863
176	0.04876976053
177	0.04821402043
178	0.04801074738
179	0.04738975705
180	0.0465377247
181	0.04571588213
182	0.04540632828
183	0.04504381315
184	0.04469282913
185	0.04399414584
186	0.04357319477
187	0.04264824885
188	0.04227590385
189	0.04200737971
190	0.04174029515
191	0.04125273158
192	0.04112904845
193	0.04073280809
194	0.04031473824
195	0.03999618972
196	0.03979980351
197	0.03903808495
198	0.03872043333
199	0.03850793413
200	0.03796499405
201	0.03777191667
202	0.0370548102
203	0.03688447917
204	0.03655397278
205	0.03630035027
206	0.03594370547
207	0.03569456341
208	0.03546761545
209	0.03506743483
210	0.03475705551
211	0.03464170343
212	0.03428957082
213	0.034189387
214	0.03406426687
215	0.03387575207
216	0.03360722414
217	0.03321601063
218	0.03291844567
219	0.03264544937
220	0.03226841925
221	0.03205787673
222	0.03188352909
223	0.03160836261
224	0.03143042506
225	0.03129822224
226	0.03104844563
227	0.03088091054
228	0.03077773163
229	0.03062835303
230	0.03034498383
231	0.03014096942
232	0.02973670586
233	0.02956728054
234	0.02931291542
235	0.02908952352
236	0.02900376831
237	0.02885774393
238	0.02869507631
239	0.02839738168
240	0.02824834701
241	0.02808654708
242	0.0279544263
243	0.02759870602
244	0.02752032172
245	0.02736045547
246	0.02706871056
247	0.02684998296
248	0.02668751081
249	0.02655346082
250	0.0264236463
251	0.02620701291
252	0.02606111115
253	0.02584286537
254	0.02574770858
255	0.0255938289
256	0.02549327686
257	0.0252023777
258	0.02506779075
259	0.02489099538
260	0.0248394556
261	0.02474080813
262	0.02447077462
263	0.02435038139
264	0.0240461856
265	0.02394348443
266	0.02378916751
267	0.02367339826
268	0.02345880269
269	0.02328342581
270	0.02320171194
271	0.02314103742
272	0.02301382496
273	0.02288861309
274	0.02278182519
275	0.02253947745
276	0.02239599589
277	0.02225578979
278	0.02206589993
279	0.02192648046
280	0.02183612223
281	0.02171999108
282	0.02150163359
283	0.02138012714
284	0.02122619966
285	0.02097738219
286	0.02086800388
287	0.0207922758
288	0.02075941929
289	0.02069018617
290	0.02039745255
291	0.02032324667
292	0.02027403212
293	0.01986022999
294	0.01976325001
295	0.01958386299
296	0.01947035406
297	0.0191804438
298	0.01903439353
299	0.01881955334
300	0.01863267316
301	0.01851370818
302	0.0183645942
303	0.0182369588
304	0.01805018937
305	0.01801084524
306	0.01785327397
307	0.01779009926
308	0.0177666906
309	0.01770327136
310	0.01757368953
311	0.01735299512
312	0.01726267843
313	0.0172050255
314	0.01709967855
315	0.0169869373
316	0.01695749418
317	0.01688462486
318	0.01681033768
319	0.01670450047
320	0.01660785388
321	0.01658147933
322	0.0164738105
323	0.01628904332
324	0.01613238568
325	0.01602532955
326	0.01594318806
327	0.01587244338
328	0.01578879946
329	0.01564775391
330	0.01555525226
331	0.01552125131
332	0.01538550112
333	0.0152529138
334	0.01512609881
335	0.01490775359
336	0.01477043598
337	0.01466425996
338	0.0145795709
339	0.01449055804
340	0.01438151628
341	0.01430714946
342	0.01419448274
343	0.0140995714
344	0.01404094206
345	0.01395689036
346	0.01388877459
347	0.01377198615
348	0.01373064221
349	0.01363540869
350	0.01353055465
351	0.01333072025
352	0.01322626277
353	0.01313265174
354	0.01308529934
355	0.01302235217
356	0.01294983801
357	0.01283491638
358	0.01277675826
359	0.01259431476
360	0.01252539455
361	0.01244616474
362	0.01239742445
363	0.01235857501
364	0.01226140876
365	0.01218291226
366	0.01212825989
367	0.01194972055
368	0.01190077374
369	0.01184624153
370	0.01179654831
371	0.01177115038
372	0.01172269527
373	0.01144829303
374	0.01139556884
375	0.01131381651
376	0.01115120386
377	0.01093481196
378	0.01076045579
379	0.01072799788
380	0.01064159969
381	0.01056579103
382	0.01053457491
383	0.01050419146
384	0.01044148705
385	0.01026353783
386	0.0102167116
387	0.01007515417
388	0.009912563233
389	0.009765295931
390	0.009742049824
391	0.009656619457
392	0.009605901167
393	0.009546837472
394	0.009374352714
395	0.009308926788
396	0.009273744099
397	0.009197070458
398	0.009161958123
399	0.009107128524
400	0.009033425535
401	0.008907053364
402	0.008776465228
403	0.008734121988
404	0.008699949184
405	0.008648995576
406	0.008584467907
407	0.008553825692
408	0.00852680746
409	0.008435186624
410	0.008380670469
411	0.00833913738
412	0.008292262775
413	0.008152473198
414	0.00807782432
415	0.008004550858
416	0.007957433521
417	0.007867595701
418	0.007758701935
419	0.0076515583
420	0.007587183464
421	0.007540118182
422	0.007376088057
423	0.00731160457
424	0.007248982937
425	0.007229664492
426	0.00719040651
427	0.007130707117
428	0.007034140845
429	0.006994874203
430	0.006936824879
431	0.006902532654
432	0.006845099318
433	0.006761566154
434	0.006658426165
435	0.006624449048
436	0.006583226388
437	0.006528499116
438	0.006451192856
439	0.006395867536
440	0.006320734405
441	0.006275141926
442	0.006138524804
443	0.006076620469
444	0.006000418403
445	0.005918678605
446	0.005870735891
447	0.00579533403
448	0.005717394369
449	0.005692443085
450	0.005621517
451	0.005581740371
452	0.005534391144
453	0.005510525829
454	0.00547510201
455	0.005386845041
456	0.005329979287
457	0.005246914397
458	0.005220575417
459	0.005182281484
460	0.005150848003
461	0.005108891379
462	0.005059178878
463	0.005000568431
464	0.004932504443
465	0.004898291188
466	0.00481961029
467	0.004772256997
468	0.004726774145
469	0.004663958349
470	0.004601181622
471	0.004554294779
472	0.004521036101
473	0.004465728105
474	0.004392673332
475	0.004331988961
476	0.004286031777
477	0.004246235848
478	0.004212488554
479	0.004154427804
480	0.004103230131
481	0.0040511339
482	0.004018403112
483	0.003981161989
484	0.003950544889
485	0.003908304206
486	0.003843433574
487	0.003798438595
488	0.003746841435
489	0.003721461948
490	0.003684612424
491	0.00365969676
492	0.003614298719
493	0.003589291745
494	0.003544876319
495	0.003481496003
496	0.003456295188
497	0.003417534467
498	0.003392113211
499	0.003366760645
500	0.003337255688
501	0.003300055167
502	0.003281973773
503	0.003251408533
504	0.003223263535
505	0.003187588307
506	0.003156636397
507	0.003138337323
508	0.003104641605
509	0.00308016253
510	0.003062387969
511	0.003019352764
512	0.002991153041
513	0.002968215307
514	0.00294278215
515	0.00289736691
516	0.002879069682
517	0.002849162665
518	0.002823869463
519	0.002800222651
520	0.002777727827
521	0.002757742348
522	0.002726758886
523	0.002705759017
524	0.002684065031
525	0.002661781797
526	0.00264253224
527	0.002622492727
528	0.00260139251
529	0.002569206528
530	0.002546124144
531	0.002521842524
532	0.002503364316
533	0.002483612708
534	0.002456144611
535	0.002441077718
536	0.002420307496
537	0.002401664553
538	0.002384292256
539	0.002361125741
